Store,Week,Month,Day, Amount ,
2327,1,1,1," 16,404.12 ",
2327,1,1,2," 15,758.29 ",
2327,1,1,3," 15,758.29 ",
2327,1,1,4," 21,054.10 ",
2327,1,1,5," 16,404.12 ",
2327,1,1,6," 20,537.44 ",
2327,1,1,7," 20,537.44 ",
2327,2,1,1," 13,174.96 ",
2327,2,1,2," 13,174.96 ",
2327,2,1,3," 13,174.96 ",
2327,2,1,4," 13,174.96 ",
2327,2,1,5," 14,466.62 ",
2327,2,1,6," 18,470.78 ",
2327,2,1,7," 18,470.78 ",
2327,3,1,1," 11,883.30 ",
2327,3,1,2," 11,237.47 ",
2327,3,1,3," 11,237.47 ",
2327,3,1,4," 11,883.30 ",
2327,3,1,5," 13,820.79 ",
2327,3,1,6," 17,824.95 ",
2327,3,1,7," 18,341.61 ",
2327,4,1,1," 11,883.30 ",
2327,4,1,2," 11,237.47 ",
2327,4,1,3," 11,237.47 ",
2327,4,1,4," 13,820.79 ",
2327,4,1,5," 15,112.45 ",
2327,4,1,6," 19,762.44 ",
2327,4,1,7," 19,762.44 ",
2327,5,2,1," 13,820.79 ",
2327,5,2,2," 13,174.96 ",
2327,5,2,3," 13,174.96 ",
2327,5,2,4," 13,820.79 ",
2327,5,2,5," 15,758.29 ",
2327,5,2,6," 20,408.27 ",
2327,5,2,7," 21,183.27 ",
2327,6,2,1," 17,179.12 ",
2327,6,2,2," 11,883.30 ",
2327,6,2,3," 11,883.30 ",
2327,6,2,4," 11,883.30 ",
2327,6,2,5," 14,466.62 ",
2327,6,2,6," 18,470.78 ",
2327,6,2,7," 18,341.61 ",
2327,7,2,1," 11,883.30 ",
2327,7,2,2," 14,466.62 ",
2327,7,2,3," 13,820.79 ",
2327,7,2,4," 13,820.79 ",
2327,7,2,5," 18,470.78 ",
2327,7,2,6," 25,058.26 ",
2327,7,2,7," 25,058.26 ",
2327,8,2,1," 20,924.94 ",
2327,8,2,2," 18,470.78 ",
2327,8,2,3," 18,470.78 ",
2327,8,2,4," 14,466.62 ",
2327,8,2,5," 18,470.78 ",
2327,8,2,6," 21,054.10 ",
2327,8,2,7," 15,887.45 ",
2327,9,3,1," 11,237.47 ",
2327,9,3,2," 11,237.47 ",
2327,9,3,3," 11,237.47 ",
2327,9,3,4," 11,237.47 ",
2327,9,3,5," 13,174.96 ",
2327,9,3,6," 19,762.44 ",
2327,9,3,7," 19,633.27 ",
2327,10,3,1," 12,399.96 ",
2327,10,3,2," 11,883.30 ",
2327,10,3,3," 11,883.30 ",
2327,10,3,4," 11,883.30 ",
2327,10,3,5," 13,174.96 ",
2327,10,3,6," 19,762.44 ",
2327,10,3,7," 19,762.44 ",
2327,11,3,1," 11,237.47 ",
2327,11,3,2," 11,237.47 ",
2327,11,3,3," 11,237.47 ",
2327,11,3,4," 15,758.29 ",
2327,11,3,5," 21,054.10 ",
2327,11,3,6," 30,354.08 ",
2327,11,3,7," 30,224.91 ",
